ID,PlayerName,RoundsPlayed,Rating,AverageCombatScore,KillsToDeaths,KillAssistsPercentage,AverageDamagePerRound,KillPerRound,AssistsPerRound,FirstKillsPerRound,FirstDeathPerRound,HeadShotPercentage,ClutchSuccessRate,MaxKillsInAMap,Kills,Deaths,Assists,FirstKills,FirstDeaths
1,aspasLEV,230,1.43,281.9,1.88,78%,191.6,1.06,0.17,0.16,0.10,30%,8%,47,243,129,39,37,23
2,florescentSR,509,1.42,307.5,1.64,78%,192.8,1.10,0.22,0.16,0.10,25%,20%,33,558,341,112,80,49
3,soulcasAPK,256,1.38,269.4,1.64,80%,176.9,0.96,0.43,0.10,0.07,37%,15%,29,246,150,109,25,19
4,VaniaG2.G,419,1.36,256.5,1.53,79%,165.3,0.93,0.35,0.11,0.06,33%,29%,31,391,255,148,48,25
5,dodsKRÜ.B,251,1.31,274.8,1.43,81%,174.0,0.96,0.29,0.22,0.11,29%,27%,28,241,168,72,54,27
6,madaMxS,203,1.29,292.0,1.39,77%,190.6,1.00,0.20,0.25,0.15,25%,8%,31,204,147,41,50,31
7,kamykJL,216,1.29,239.8,1.41,78%,161.0,0.87,0.42,0.09,0.07,34%,19%,29,187,133,90,19,16
8,welyyRyZe,282,1.28,243.9,1.40,76%,161.1,0.87,0.35,0.09,0.07,25%,22%,33,244,174,100,24,19
9,madvFLCV,625,1.28,242.4,1.35,77%,153.5,0.87,0.39,0.09,0.07,38%,21%,31,541,401,244,54,43
10,MaKoDRX,205,1.28,236.1,1.42,77%,159.7,0.81,0.39,0.12,0.09,32%,6%,21,167,118,79,24,18
11,conirKRÜ.B,251,1.27,219.3,1.46,78%,145.8,0.80,0.35,0.07,0.04,29%,23%,24,200,137,88,18,11
12,alexiiikGN,327,1.26,273.1,1.38,72%,171.8,0.97,0.17,0.24,0.20,29%,21%,33,317,229,56,80,65
13,geezaGrif,341,1.26,243.5,1.41,78%,159.6,0.88,0.19,0.14,0.06,35%,23%,25,299,212,66,47,22
14,JuWAKV.GC,259,1.25,269.0,1.31,76%,164.9,0.92,0.24,0.22,0.15,22%,27%,29,238,181,62,56,38
15,srNMIBR,285,1.25,278.8,1.29,76%,185.5,0.95,0.27,0.27,0.14,25%,20%,36,270,210,76,78,41
16,JellyMIBR,285,1.24,249.2,1.34,78%,160.9,0.91,0.33,0.13,0.08,37%,4%,26,259,193,93,37,24
17,zanderM80,216,1.24,263.1,1.36,81%,169.2,0.92,0.46,0.14,0.11,24%,,31,198,146,99,31,23
18,chaseOLP,222,1.24,229.4,1.34,75%,142.8,0.84,0.36,0.09,0.06,36%,9%,31,187,140,81,20,14
19,MohFLC,517,1.23,240.5,1.35,75%,153.3,0.86,0.30,0.13,0.10,28%,13%,30,444,330,154,67,53
20,KyuGrif,300,1.23,231.3,1.27,78%,148.6,0.81,0.37,0.07,0.07,26%,9%,21,243,191,110,22,22
21,AvovAAPK,256,1.23,199.2,1.42,81%,129.3,0.76,0.31,0.07,0.05,41%,32%,21,194,137,80,19,14
22,heatKRÜ,211,1.23,217.4,1.36,76%,146.3,0.83,0.42,0.07,0.08,36%,21%,26,176,129,89,14,16
23,7ssk7NASR,231,1.23,203.1,1.22,83%,125.4,0.74,0.57,0.06,0.03,36%,12%,24,171,140,131,15,8
24,PowerPixelePP,343,1.23,233.8,1.32,81%,150.5,0.81,0.51,0.08,0.08,21%,30%,21,279,212,176,29,26
25,mmonchAKV.GC,259,1.22,227.1,1.33,78%,152.6,0.81,0.34,0.09,0.05,25%,23%,28,209,157,88,23,12
26,rubkkoide9z,288,1.22,222.6,1.32,79%,147.0,0.80,0.36,0.11,0.05,32%,20%,23,229,173,105,32,14
27,L4CEFLY.R,310,1.22,236.4,1.31,74%,153.7,0.84,0.32,0.06,0.04,33%,14%,27,261,199,99,19,12
28,JesseVLNT,207,1.22,225.5,1.36,76%,144.7,0.81,0.30,0.10,0.06,31%,16%,24,167,123,62,21,13
29,DragonJJH,372,1.22,230.9,1.30,74%,149.3,0.81,0.42,0.11,0.11,32%,16%,22,300,231,155,41,42
30,david9z,288,1.21,220.8,1.30,80%,146.0,0.80,0.38,0.07,0.03,30%,15%,25,229,176,108,20,9
31,RuxicFF,243,1.21,245.3,1.27,77%,162.4,0.84,0.34,0.12,0.06,27%,22%,27,203,160,83,28,15
32,VernoOXG,218,1.21,207.4,1.41,75%,141.4,0.75,0.27,0.07,0.06,25%,24%,21,163,116,59,15,14
33,kiNggLEV,230,1.21,219.4,1.29,80%,146.3,0.77,0.42,0.11,0.07,31%,26%,30,178,138,97,25,15
34,MinnyGN,327,1.21,235.2,1.34,75%,149.6,0.83,0.16,0.07,0.06,29%,23%,27,270,201,51,22,20
35,VeraLZE,398,1.21,278.9,1.32,73%,179.3,0.95,0.21,0.21,0.20,20%,10%,32,378,287,82,85,80
36,BeYNDRX,205,1.21,209.3,1.35,84%,136.6,0.78,0.40,0.06,0.06,33%,18%,25,159,118,83,13,12
37,DandaDEMU,209,1.20,223.4,1.37,75%,137.9,0.84,0.29,0.09,0.04,23%,9%,30,175,128,60,18,9
38,ShaoNAVI,227,1.20,208.1,1.22,78%,135.0,0.75,0.42,0.08,0.06,29%,25%,24,170,139,95,18,14
39,AvezNASR,231,1.20,221.8,1.20,74%,146.9,0.77,0.37,0.08,0.11,27%,15%,27,177,148,86,18,25
